Run    17  Seq   2  Rec   3  File D3A:AL20    Date 10-DEC-2011 02:49:42.46      
Mode S  Arm 1  Npts     9  Mon1[  MB]=    1000 *   750  Mon2[S2]=*    750       
A= 1.00000  LAMBDA= 2.37051  EZERO= 3.52000  KZERO= 0.42185                     
Qz-ini=  0.0110 Qx=  0.0000 PSIoff=  0.0000 del-Qz -0.0004 delPSI=  0.0000      
Temp: M5    Csensr(3) X23994  Rsensr(1) X28827  Temp=    1.0000                 
Monox PG002   [ 3.35395]# 0     Anax         [ 0.00000]# 0                      
2TM=   41.390 TMFR=  20.695 2TA=   0.000 TA=   0.000                            
Reserved for auxilary drive data.                                               
Flipper currents: DBHF=  3.500  DBVF=  1.900  SBHF=  4.500  SBVF=  0.900        
Reserved for collimator, filter, specimen and detector data.                    
Al disk, 20mm diameter                                                          
sample in heliox at T=0.28K, I_HELMHOLTZ=3A (30G); B_cryo=30G; SIG=IC 17,17     
                                                                                
  PT#       PSI       PHI       Qz        S1        RTemp     Mon=MB    Time      Sig=IC    Sig 2   
   1.   -0.1180   -0.2380    0.0110    0.1000    0.4516   749990.      962.    10197.    10112.
   2.   -0.1150   -0.2290    0.0106    0.1000    0.4516   749990.      957.    13283.    12959.
   3.   -0.1100   -0.2200    0.0102    0.1000    0.4516   749990.      958.    16832.    16851.
   4.   -0.1070   -0.2120    0.0098    0.1000    0.4516   749990.      958.    19509.    19565.
   5.   -0.1020   -0.2040    0.0094    0.1000    0.4516   749990.      957.    21864.    22132.
   6.   -0.0980   -0.1950    0.0090    0.1000    0.4516   749990.      957.    23253.    22925.
   7.   -0.0930   -0.1860    0.0086    0.1000    0.4516   749990.      954.    23915.    23533.
   8.   -0.0890   -0.1780    0.0082    0.1000    0.4516   749990.      951.    22376.    22082.
   9.   -0.0840   -0.1690    0.0078    0.1000    0.4516   749990.      951.    22149.    22363.
