RRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
  067726       0       4                                                        
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
      80       1                                                                
Inst User L.C.   Date     Time                                                  
D10 GordonGJMc06-Nov-00 15:57:02                                                
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
      80       1                                                                
Title                                                                   Scantype
metatorbernite #5                                                       omega   
IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII
      31       4                                                                
   nvers   ntype   kctrl   manip   nbang   nkmes  npdone   jcode   ipara   ianal
   imode    itgv  iregul   ivolt    naxe npstart  ilast1     isa  flgkif      ih
      ik   nbsqs (spare)  nbdata icdesc1 icdesc2 icdesc3 icdesc4 icdesc5 icdesc6
 icdesc7                                                                        
       4       2       0       2       1      30      30       0       1       0
       0       0       1       0       1       0       0       0       1       0
       0       0       0    1024       2       0       0       0       0       0
       0                                                                        
FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
      50      10                                                                
        H (Hmin)        K (Kmin)        L (Lmin)             phi             chi
           omega  2theta (gamma)             psi         ub(1,1)         ub(2,1)
         ub(3,1)         ub(2,1)         ub(2,2)         ub(2,3)         ub(3,1)
         ub(3,2)         ub(3,3)      wavelength  dmonochromator       danalyser
          energy            Hmax            Kmax            Lmax          DeltaH
          DeltaK          DeltaL     Deltaenergy         Ki (Kf)       Ddetector
        2the_ana         ome_ana        samptabl       omega_mon         (spare)
      scan start       scan step      scan width          preset    add.bkg.step
   add.bkg.width  add.bkg.preset  couplingfactor         (spare)         (spare)
       Temp-s.pt      Temp-Regul     Temp-sample       Voltmeter         (spare)
  0.90000000E+01  0.10000000E+01  0.70000000E+01  0.60380157E+02  0.62421341E+01
  0.59008015E+02  0.11801603E+03  0.00000000E+00  0.30790607E-01 -0.24139006E-02
  0.56382313E-01  0.14034553E+00  0.83180016E-03 -0.12367602E-01 -0.29520007E-03
  0.14366104E+00  0.10190002E-02  0.12584002E+01  0.18073503E+01  0.33527005E+01
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.43700000E+03
  0.34169998E+02  0.20610001E+02  0.40800003E+02  0.20399994E+02  0.00000000E+00
  0.52281742E+02  0.46388084E+00  0.13452544E+02  0.10000000E+05  0.00000000E+00
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30000000E+03  0.29756900E+03  0.29766800E+03  0.00000000E+00  0.00000000E+00
SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS
       1      29      30   67726       0       1                                
FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
       4       1                                                                
            time         monitor       Total Cou     angles*1000                
  0.56630000E+04  0.10000000E+05  0.20900000E+03  0.52281008E+05                
IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII
    1024                                                                        
       0       0       0       0       0       0       0       0       0       0
       0       0       0       0       0       0       0       0       0       0
       1       0       0       0       0       0       0       0       0       0
       0       1       0       0       0       0       0       0       0       0
       0       0       0       1       0       0       0       0       0       0
       0       0       1       0       0       0       0       0       0       0
       2       0       0       0       0       0       0       0       0       0
       0       0       1       0       0       2       1       0       1       0
