RRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
  057276      1      0
ILL TAS data in the new ASCII format follow after the line VV...V
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
	   80      0
IN3   mechthild   31-Oct-10 11:07:23
VVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVV
INSTR: IN3
EXPNO: 4-03-1661
USER_: mechthild
LOCAL: mechthild
FILE_: 057276
DATE_: 31-Oct-10 11:07:23
TITLE: align for IN20
COMND: SC GL -1 DGL -0.25 NP 57 
POSQE: QH=  0.0000, QK= -4.0000, QL=  0.0000, EN=   0.0000, UN=meV
STEPS: GL      = -0.2500
CURVE: MONO= manu, ANA= manu
PARAM: DM=   3.35500, DA=   3.35500, SM=-1., SS=-1., SA= 1.
PARAM: FX= 2., KFIX=   2.66078
PARAM: ALF1= 600.00, ALF2=  40.00,ALF3= 600.00, ALF4= 600.00
PARAM: BET1= 600.00, BET2= 600.00,BET3= 600.00, BET4= 600.00
PARAM: ETAM=    35.0, ETAA=    35.0
PARAM: AS=   3.76480, BS=   5.75500, CS=  11.32400
PARAM: AA= 90.0000, BB= 90.0000,CC= 90.0000, ETAS=     1.0
PARAM: AX=   1.000, AY=   0.000, AZ=   0.000
PARAM: BX=   0.000, BY=   1.000, BZ=   0.000
VARIA: A1      = -20.59, A2      = -41.20, A3      = -53.77, A4      =-110.21
VARIA: A5      =  20.60, A6      =  41.21, TM      =   4.82, GM      =  64.02
VARIA: RM      =   1.98, GU      =   0.82, GL      =   5.98, RAH     =   8.97
VARIA: RAV     =   6.00, D1T     =  52.81, D1B     =  44.69, D1R     =  21.10
VARIA: D1L     =  24.62, D2T     =  51.56, D2B     =  50.00, D2R     =  21.87
VARIA: D2L     =  20.88, TU      = -26.18, TL      = -22.52
ZEROS: A1      =   1.77, A2      =   2.70, A3      =-186.40, A4      =   0.69
ZEROS: A5      =  -1.77, A6      =   0.16, TM      =   0.00, GM      =   0.00
ZEROS: RM      =   0.00, GU      =   0.00, GL      =   0.00, RAH     =   0.00
ZEROS: RAV     =   0.00, D1T     =   0.00, D1B     =   0.00, D1R     =   0.00
ZEROS: D1L     =   0.00, D2T     =   0.00, D2B     =   0.00, D2R     =   0.00
ZEROS: D2L     =   0.00, TU      =   0.00, TL      =   0.00
PARAM: TI=      1.00
FORMT: (I4,1X,F10.4,1X,2(1X,F8.0),1X,F9.2,1x,F9.0)
DATA_:
 PNT    GL         M1       M2       TIME      CNTS  
   1     5.9800   20732.       6.      1.00      167.
   2     5.7800   20968.       8.      1.00      161.
   3     5.5400   20629.       7.      1.00      191.
   4     5.3100   21141.       2.      1.00      212.
   5     5.0300   20573.       7.      1.00      215.
   6     4.7900   20813.      13.      1.00      267.
   7     4.5500   20528.      13.      1.00      263.
   8     4.2800   20802.      14.      1.00      313.
   9     4.0400   20940.      20.      1.00      350.
  10     3.8000   20981.      24.      1.00      385.
  11     3.5200   20679.      26.      1.00      412.
  12     3.2900   20945.      36.      1.00      464.
  13     3.0500   20578.      46.      1.00      583.
  14     2.7700   21010.      61.      1.00      713.
  15     2.5300   20988.      79.      1.00      912.
  16     2.3000   20875.     107.      1.00     1307.
  17     2.0600   21126.     105.      1.00     1661.
  18     1.7800   20610.     145.      1.00     2338.
  19     1.5400   20847.     136.      1.00     3056.
  20     1.3100   20702.     162.      1.00     3783.
  21     1.0300   20497.     147.      1.00     4768.
  22     0.7900   20881.     181.      1.00     5535.
  23     0.5500   20974.     204.      1.00     6421.
  24     0.2800   20776.     194.      1.00     7156.
  25     0.0400   20805.     185.      1.00     7407.
  26    -0.2000   21038.     181.      1.00     7433.
  27    -0.4800   20750.     190.      1.00     7156.
  28    -0.7100   20516.     179.      1.00     6869.
  29    -0.9500   20831.     178.      1.00     6653.
  30    -1.2300   20570.     153.      1.00     5805.
  31    -1.4700   21128.     128.      1.00     4887.
  32    -1.7000   20967.     102.      1.00     4418.
  33    -1.9800   20756.      73.      1.00     3645.
  34    -2.2200   20695.      89.      1.00     3021.
  35    -2.4600   20947.      67.      1.00     2818.
  36    -2.6900   21049.      51.      1.00     2532.
  37    -2.9700   20704.      50.      1.00     2112.
  38    -3.2100   20584.      35.      1.00     1949.
  39    -3.4500   20754.      41.      1.00     1893.
  40    -3.7200   20767.      44.      1.00     1768.
  41    -3.9600   20783.      37.      1.00     1753.
  42    -4.2000   20919.      29.      1.00     1605.
  43    -4.4700   20883.      27.      1.00     1441.
  44    -4.7100   20741.      29.      1.00     1412.
  45    -4.9500   20830.      29.      1.00     1385.
  46    -5.2300   20850.      28.      1.00     1201.
  47    -5.4600   20710.      18.      1.00     1122.
  48    -5.7000   20502.      15.      1.00      986.
  49    -5.9800   20956.      20.      1.00      846.
  50    -6.2200   20708.      16.      1.00      725.
  51    -6.4500   20622.       8.      1.00      535.
  52    -6.6900   20581.      12.      1.00      433.
  53    -6.9700   20878.      12.      1.00      340.
  54    -7.2100   20615.      10.      1.00      254.
  55    -7.4400   20687.       6.      1.00      205.
  56    -7.7200   20781.       9.      1.00      159.
  57    -7.9600   20880.       7.      1.00      155.
