!XYDATA  NAC Nacalf NaCaAlF 11mm 14/14 open 10' 1 VacuumVessel 
!INTER  1 1 0 0 
!TEMP  123.800003 124.000000 1.000000
! d20 25-Nov-08 14:08:06 User Brunel   L.C.Hansen  Run 645226*d20_2008_11_6394
! d20 25-Nov-08 14:08:06 User Brunel   L.C.Hansen  Run 645226*d20_2008_11_6394
! Monitor/counts, Counting time/sec:  246531.000000 30.000000
   0.7743           482.420      21.816
   0.8743           720.743      26.823
   0.9743           809.919      28.164
   1.0743           724.130      26.931
   1.1743           521.505      22.653
   1.2743           549.753      23.336
   1.3743           500.795      22.154
   1.4743           314.425      17.604
   1.5743           252.491      15.629
   1.6743           235.886      15.195
   1.7743           308.001      17.409
   1.8743           282.317      16.636
   1.9743           295.714      17.045
   2.0743           331.356      18.050
   2.1743           414.589      20.230
   2.2743           579.717      23.948
   2.3743           810.468      28.407
   2.4743           980.274      31.202
   2.5743          1234.282      35.136
   2.6743          1365.140      36.842
   2.7743          1582.251      39.831
   2.8743          1777.483      42.048
   2.9743          1829.614      42.355
   3.0743          2017.116      46.264
   3.1743          2230.338      46.668
   3.2743          2276.357      47.894
   3.3743          2471.980      49.830
   3.4743          2480.061      49.942
   3.5743          2767.606      53.411
   3.6743          2899.091      55.334
   3.7743          3032.444      56.263
   3.8743          3074.988      56.188
   3.9743          3148.622      56.469
   4.0743          3196.805      56.512
   4.1743          3272.297      57.488
   4.2743          3363.438      57.913
   4.3743          3396.391      58.446
   4.4743          3643.840      60.454
   4.5743          3452.433      58.566
   4.6743          3685.440      60.613
   4.7743          3634.003      60.250
   4.8743          3734.775      60.964
   4.9743          3689.649      60.486
   5.0743          3757.793      61.242
   5.1743          3660.186      60.460
   5.2743          3581.078      59.577
   5.3743          3534.989      59.263
   5.4743          3681.533      60.606
   5.5743          3607.754      60.029
   5.6743          3649.497      60.152
   5.7743          3482.327      58.879
   5.8743          3528.616      59.433
   5.9743          3565.326      59.266
   6.0743          3567.699      59.947
   6.1743          3581.733      59.646
   6.2743          3609.888      60.140
   6.3743          3595.243      59.921
   6.4743          3521.773      59.444
   6.5743          3643.649      60.468
   6.6743          3666.933      60.538
   6.7743          3728.399      61.612
   6.8743          3785.484      62.978
   6.9743          3735.286      62.481
   7.0743          3718.957      61.582
   7.1743          3659.230      60.785
   7.2743          3607.446      60.107
   7.3743          3635.873      60.439
   7.4743          3582.277      59.696
   7.5743          3573.241      60.108
   7.6743          3463.393      58.609
   7.7743          3551.502      59.490
   7.8743          3455.199      58.496
   7.9743          3451.828      58.853
   8.0743          3525.383      58.970
   8.1743          3493.575      58.909
   8.2743          3481.477      58.890
   8.3743          3487.759      58.988
   8.4743          3419.268      58.180
   8.5743          3497.277      58.855
   8.6743          3436.086      58.602
   8.7743          3550.261      59.394
   8.8743          3480.687      58.684
   8.9743          3474.014      58.882
   9.0743          3476.375      58.989
   9.1743          3531.881      59.454
   9.2743          3454.088      58.418
   9.3743          3468.598      59.088
   9.4743          3663.197      60.534
   9.5743          3614.376      60.265
   9.6743          3509.455      59.253
   9.7743          3488.635      59.232
   9.8743          3609.899      60.392
   9.9743          3635.535      60.567
  10.0743          3668.193      61.951
  10.1743          3659.266      61.924
  10.2743          3596.341      60.548
  10.3743          3591.182      59.886
  10.4743          3561.767      59.712
  10.5743          3579.315      60.049
  10.6743          3467.029      58.612
  10.7743          3613.798      60.322
  10.8743          3527.071      59.289
  10.9743          3476.550      58.756
  11.0743          3520.088      59.163
  11.1743          3536.541      59.406
  11.2743          3452.813      58.497
  11.3743          3540.735      59.103
  11.4743          3426.156      58.577
  11.5743          3536.752      59.218
  11.6743          3357.858      57.689
  11.7743          3541.013      59.289
  11.8743          3480.339      58.862
  11.9743          3356.300      57.662
  12.0743          3425.725      58.256
  12.1743          3408.526      58.123
  12.2743          3558.710      59.452
  12.3743          3531.209      59.233
  12.4743          3477.992      58.663
  12.5743          3492.203      59.054
  12.6743          3634.970      60.208
  12.7743          3571.302      59.456
  12.8743          3627.203      60.253
  12.9743          3560.810      59.654
  13.0743          3655.315      60.520
  13.1743          3518.728      59.863
  13.2743          3553.367      60.895
  13.3743          3606.156      61.342
  13.4743          3569.579      60.182
  13.5743          3679.520      60.622
  13.6743          3623.753      60.237
  13.7743          3687.491      60.606
  13.8743          3564.597      59.642
  13.9743          3579.713      59.489
  14.0743          3535.907      59.396
  14.1743          3586.439      59.347
  14.2743          3647.758      60.074
  14.3743          3641.898      59.897
  14.4743          3525.019      58.515
  14.5743          3574.721      59.250
  14.6743          3518.797      62.390
  14.7743          3507.162      57.564
  14.8743          3582.118      59.130
  14.9743          3505.997      58.613
  15.0743          3508.448      58.968
  15.1743          3604.706      59.682
  15.2743          3418.152      58.144
  15.3743          3400.936      57.943
  15.4743          3558.350      59.513
  15.5743          3561.127      59.369
  15.6743          3463.717      58.447
  15.7743          3494.048      59.111
  15.8743          3536.894      59.387
  15.9743          3540.261      59.302
  16.0743          3500.691      59.063
  16.1743          3507.757      59.411
  16.2743          3569.155      59.305
  16.3743          3565.667      60.040
  16.4743          3574.458      61.877
  16.5743          3649.136      59.951
  16.6743          3680.348      62.129
  16.7743          3701.771      60.931
  16.8743          3648.908      60.505
  16.9743          3642.384      60.190
  17.0743          3633.158      60.294
  17.1743          3609.007      59.786
  17.2743          3582.784      59.947
  17.3743          3659.637      59.954
  17.4743          3497.866      59.346
  17.5743          3442.650      57.707
  17.6743          3553.326      59.747
  17.7743          3477.451      58.471
  17.8743          3497.987      58.808
  17.9743          3681.681      60.823
  18.0743          3561.393      59.225
  18.1743          3592.749      59.525
  18.2743          3630.051      59.946
  18.3743          3693.394      60.645
  18.4743          3922.914      62.339
  18.5743          4153.362      64.310
  18.6743          4609.958      67.684
  18.7743          5112.562      71.221
  18.8743          5633.163      74.567
  18.9743          6680.120      81.659
  19.0743          7230.487      85.100
  19.1743          7563.802      86.501
  19.2743          7470.730      86.746
  19.3743          6984.558      83.464
  19.4743          6232.833      79.336
  19.5743          5442.530      74.091
  19.6743          4587.080      69.074
  19.7743          4092.749      65.595
  19.8743          3798.952      62.178
  19.9743          3702.703      60.856
  20.0743          3691.837      61.033
  20.1743          3735.819      61.161
  20.2743          3637.626      60.418
  20.3743          3640.795      60.148
  20.4743          3582.973      59.891
  20.5743          3561.457      59.632
  20.6743          3557.868      59.347
  20.7743          3566.255      59.687
  20.8743          3610.232      59.954
  20.9743          3584.700      59.440
  21.0743          3661.698      60.452
  21.1743          3642.518      60.225
  21.2743          3791.196      61.188
  21.3743          3673.705      60.379
  21.4743          3680.782      60.585
  21.5743          3538.088      59.282
  21.6743          3590.249      59.763
  21.7743          3602.530      59.711
  21.8743          3597.424      60.015
  21.9743          3516.676      58.923
  22.0743          3480.259      58.794
  22.1743          3537.161      59.568
  22.2743          3559.636      59.584
  22.3743          3552.189      59.443
  22.4743          3425.023      58.507
  22.5743          3540.110      59.567
  22.6743          3552.255      59.755
  22.7743          3621.311      60.414
  22.8743          3585.261      61.433
  22.9743          3610.638      61.750
  23.0743          3677.063      59.895
  23.1743          3553.659      60.240
  23.2743          3570.825      59.738
  23.3743          3662.295      60.486
  23.4743          3559.273      59.545
  23.5743          3654.195      59.294
  23.6743          3618.854      62.366
  23.7743          3649.953      59.819
  23.8743          3448.583      57.042
  23.9743          3559.501      60.106
  24.0743          3530.474      59.405
  24.1743          3532.467      58.940
  24.2743          3494.904      58.748
  24.3743          3533.360      59.420
  24.4743          3521.452      58.920
  24.5743          3604.083      59.762
  24.6743          3703.719      60.514
  24.7743          3603.865      59.923
  24.8743          3661.722      60.296
  24.9743          3574.892      59.450
  25.0743          3630.584      60.317
  25.1743          3614.607      59.609
  25.2743          3622.497      60.125
  25.3743          3542.990      59.206
  25.4743          3611.924      60.007
  25.5743          3588.875      59.998
  25.6743          3631.259      60.089
  25.7743          3720.634      61.208
  25.8743          3704.799      61.014
  25.9743          3690.296      61.074
  26.0743          3761.776      62.627
  26.1743          3772.735      62.705
  26.2743          3604.000      60.259
  26.3743          3820.630      61.607
  26.4743          3967.253      62.956
  26.5743          4330.281      65.708
  26.6743          5163.760      71.464
  26.7743          6583.349      80.870
  26.8743          9126.576      95.510
  26.9743         12997.004     112.911
  27.0743         17646.119     132.260
  27.1743         21247.035     144.826
  27.2743         23336.863     151.839
  27.3743         22792.453     149.614
  27.4743         19941.951     140.562
  27.5743         15590.337     124.243
  27.6743         10808.070     102.873
  27.7743          6895.599      82.501
  27.8743          4885.854      69.319
  27.9743          4089.591      63.683
  28.0743          3680.065      59.951
  28.1743          3810.552      61.222
  28.2743          3632.539      60.011
  28.3743          3776.488      60.879
  28.4743          3689.969      60.362
  28.5743          3549.875      59.272
  28.6743          3578.969      59.559
  28.7743          3709.953      60.632
  28.8743          3526.786      59.209
  28.9743          3511.340      59.041
  29.0743          3579.556      59.651
  29.1743          3579.515      60.060
  29.2743          3702.094      62.021
  29.3743          3629.218      61.389
  29.4743          3702.559      60.927
  29.5743          3672.701      60.452
  29.6743          3626.524      59.912
  29.7743          3629.929      60.232
  29.8743          3679.096      60.281
  29.9743          3628.193      59.777
  30.0743          3512.421      59.076
  30.1743          3664.905      60.113
  30.2743          3603.291      59.667
  30.3743          3710.322      60.309
  30.4743          3720.145      60.758
  30.5743          3892.564      61.857
  30.6743          3681.025      60.240
  30.7743          3750.732      60.909
  30.8743          3548.909      59.083
  30.9743          3601.895      59.497
  31.0743          3545.281      59.286
  31.1743          3627.072      59.766
  31.2743          3600.443      59.660
  31.3743          3563.969      59.040
  31.4743          3566.499      59.549
  31.5743          3561.718      59.436
  31.6743          3604.988      59.459
  31.7743          3626.734      60.080
  31.8743          3579.866      59.409
  31.9743          3557.376      59.380
  32.0743          3609.026      59.984
  32.1743          3746.294      61.226
  32.2743          3738.010      61.115
  32.3743          3701.638      60.740
  32.4743          3704.401      61.895
  32.5743          3725.093      61.922
  32.6743          3779.564      62.060
  32.7743          3889.693      62.349
  32.8743          4177.543      64.630
  32.9743          4879.256      69.647
  33.0743          6806.639      82.055
  33.1743         10185.019     100.817
  33.2743         15734.986     125.395
  33.3743         22583.805     149.313
  33.4743         29155.488     170.215
  33.5743         32601.633     179.949
  33.6743         32376.041     179.323
  33.7743         27870.965     165.717
  33.8743         20939.162     144.525
  33.9743         13511.993     115.864
  34.0743          8183.438      90.031
  34.1743          5350.005      72.670
  34.2743          4180.198      64.364
  34.3743          3860.899      62.039
  34.4743          3695.809      60.360
  34.5743          3671.514      60.351
  34.6743          3721.331      60.956
  34.7743          3809.125      61.382
  34.8743          3782.813      61.285
  34.9743          3758.980      61.156
  35.0743          3751.856      61.341
  35.1743          3631.991      60.109
  35.2743          3751.537      61.254
  35.3743          3674.259      60.494
  35.4743          3622.474      60.308
  35.5743          3566.244      60.135
  35.6743          3538.652      60.732
  35.7743          3605.563      60.989
  35.8743          3665.368      60.720
  35.9743          3719.213      60.856
  36.0743          3705.190      60.708
  36.1743          3688.008      60.378
  36.2743          3580.924      59.748
  36.3743          3638.050      59.793
  36.4743          3667.404      60.554
  36.5743          3647.136      59.789
  36.6743          3749.741      61.022
  36.7743          3608.678      59.479
  36.8743          3706.068      60.536
  36.9743          3671.834      59.993
  37.0743          3521.360      58.853
  37.1743          3693.014      60.664
  37.2743          3701.107      60.119
  37.3743          3720.599      60.484
  37.4743          3747.848      60.742
  37.5743          3746.409      60.791
  37.6743          3747.958      61.269
  37.7743          4008.088      61.532
  37.8743          3862.646      62.545
  37.9743          3854.059      61.206
  38.0743          3905.424      62.633
  38.1743          4068.065      63.278
  38.2743          4400.846      65.934
  38.3743          5612.039      74.399
  38.4743          8841.386      93.872
  38.5743         15939.492     125.903
  38.6743         26123.867     161.425
  38.7743         38893.363     198.780
  38.8743         50265.418     227.784
  38.9743         56410.984     241.689
  39.0743         55585.398     237.127
  39.1743         46622.555     215.171
  39.2743         33369.914     182.567
  39.3743         21079.180     144.283
  39.4743         11493.536     106.932
  39.5743          6373.876      79.266
  39.6743          4509.111      67.106
  39.7743          4015.615      62.844
  39.8743          3893.522      62.155
  39.9743          4036.344      62.991
  40.0743          3919.659      62.287
  40.1743          3763.857      60.890
  40.2743          3845.997      61.641
  40.3743          3828.302      61.539
  40.4743          3855.037      61.588
  40.5743          3805.004      61.038
  40.6743          3665.546      60.310
  40.7743          3723.804      60.616
  40.8743          3651.269      59.857
  40.9743          3782.102      61.177
  41.0743          3732.402      60.651
  41.1743          3676.590      60.369
  41.2743          3728.627      60.486
  41.3743          3714.727      60.661
  41.4743          3770.992      61.198
  41.5743          3778.408      61.270
  41.6743          3835.101      61.505
  41.7743          3728.918      60.950
  41.8743          3807.720      61.153
  41.9743          3714.197      61.069
  42.0743          3689.024      59.400
  42.1743          3746.800      68.786
  42.2743          3798.412      60.460
  42.3743          3773.456      61.408
  42.4743          3833.458      61.830
  42.5743          3919.453      62.245
  42.6743          3908.380      62.353
  42.7743          4019.153      62.992
  42.8743          3997.245      63.092
  42.9743          3972.567      62.585
  43.0743          3994.575      62.854
  43.1743          3995.677      62.833
  43.2743          4421.239      66.166
  43.3743          5368.873      72.639
  43.4743          6967.062      83.053
  43.5743          9034.133      94.750
  43.6743         11079.477     104.384
  43.7743         12346.991     110.316
  43.8743         12716.873     112.451
  43.9743         11219.875     105.292
  44.0743          9374.841      96.214
  44.1743          7147.866      84.244
  44.2743          5375.439      73.096
  44.3743          4368.333      65.736
  44.4743          4137.776      63.916
  44.5743          4062.224      63.714
  44.6743          4284.535      65.270
  44.7743          4644.977      67.913
  44.8743          5293.252      72.839
  44.9743          5498.004      73.967
  45.0743          5628.265      74.910
  45.1743          5501.395      74.899
  45.2743          5331.290      75.623
  45.3743          4894.028      69.198
  45.4743          4464.548      68.387
  45.5743          4240.341      65.021
  45.6743          4011.820      63.800
  45.7743          3773.120      61.289
  45.8743          3842.222      62.109
  45.9743          3768.915      60.908
  46.0743          3789.820      61.863
  46.1743          3879.801      62.079
  46.2743          3863.378      61.840
  46.3743          3886.426      62.417
  46.4743          3800.298      61.287
  46.5743          3946.908      62.476
  46.6743          3868.394      62.175
  46.7743          3943.716      62.426
  46.8743          3954.223      62.710
  46.9743          3842.522      61.744
  47.0743          3848.539      61.650
  47.1743          3800.911      61.433
  47.2743          3942.566      62.651
  47.3743          3780.864      61.077
  47.4743          3850.330      61.750
  47.5743          4119.550      64.282
  47.6743          4695.939      68.157
  47.7743          6165.172      78.615
  47.8743          8459.481      91.734
  47.9743         11400.431     106.116
  48.0743         14815.463     122.337
  48.1743         17305.502     131.492
  48.2743         18013.229     134.532
  48.3743         16746.113     130.349
  48.4743         13922.870     120.808
  48.5743         10972.382     106.613
  48.6743          8042.903      89.934
  48.7743          5673.130      75.136
  48.8743          4355.165      65.739
  48.9743          3972.170      62.868
  49.0743          3954.997      62.511
  49.1743          3924.320      62.228
  49.2743          3805.907      61.546
  49.3743          4012.928      62.802
  49.4743          3991.192      62.692
  49.5743          4036.298      63.067
  49.6743          3847.385      61.647
  49.7743          4005.293      62.652
  49.8743          3896.210      61.970
  49.9743          3998.255      62.657
  50.0743          3937.012      62.242
  50.1743          3893.865      61.964
  50.2743          4039.997      63.048
  50.3743          4048.348      62.956
  50.4743          4041.490      63.141
  50.5743          3933.652      62.243
  50.6743          4040.042      63.157
  50.7743          3910.829      62.077
  50.8743          4013.710      62.992
  50.9743          3970.577      62.430
  51.0743          3928.675      62.518
  51.1743          3947.715      62.403
  51.2743          3989.750      62.919
  51.3743          4014.879      63.315
  51.4743          3973.786      62.667
  51.5743          4071.664      64.395
  51.6743          4129.933      65.431
  51.7743          4709.482      69.980
  51.8743          6334.514      79.706
  51.9743          9531.139      97.680
  52.0743         13560.255     116.091
  52.1743         18806.648     137.060
  52.2743         23558.695     152.609
  52.3743         26208.262     161.307
  52.4743         26498.441     162.638
  52.5743         23789.389     153.149
  52.6743         19497.279     138.733
  52.7743         14628.213     120.455
  52.8743          9969.127      99.197
  52.9743          6384.396      79.403
  53.0743          4837.383      68.986
  53.1743          4299.397      65.542
  53.2743          4087.220      63.233
  53.3743          4065.493      63.292
  53.4743          4134.390      64.063
  53.5743          4035.594      63.203
  53.6743          4073.226      63.543
  53.7743          4114.546      63.732
  53.8743          3940.704      62.355
  53.9743          4008.349      63.071
  54.0743          4212.377      64.645
  54.1743          4118.667      63.965
  54.2743          4066.303      63.567
  54.3743          4000.601      63.050
  54.4743          3981.669      63.011
  54.5743          4024.573      63.373
  54.6743          3995.305      63.187
  54.7743          4058.745      63.659
  54.8743          4125.656      65.636
  54.9743          4184.138      65.894
  55.0743          4104.193      64.372
  55.1743          4049.666      63.611
  55.2743          4149.796      64.147
  55.3743          4070.670      63.365
  55.4743          4203.538      64.693
  55.5743          4303.449      65.369
  55.6743          4746.001      68.233
  55.7743          6039.958      77.384
  55.8743          8284.063      90.226
  55.9743         11742.511     107.342
  56.0743         15270.591     122.656
  56.1743         18540.676     134.864
  56.2743         20318.881     141.778
  56.3743         21013.180     143.332
  56.4743         19740.154     139.696
  56.5743         16949.738     128.840
  56.6743         13351.318     114.668
  56.7743          9687.027      97.635
  56.8743          6753.435      81.676
  56.9743          5100.727      70.619
  57.0743          4449.855      66.305
  57.1743          4314.831      65.309
  57.2743          4204.093      64.104
  57.3743          4266.379      65.130
  57.4743          4248.608      64.843
  57.5743          4261.948      64.911
  57.6743          4255.675      64.861
  57.7743          4250.353      65.129
  57.8743          4287.476      65.239
  57.9743          4246.266      65.381
  58.0743          4227.750      66.212
  58.1743          4116.773      65.469
  58.2743          4228.423      65.022
  58.3743          4240.999      65.262
  58.4743          4204.830      64.530
  58.5743          4149.153      64.268
  58.6743          4305.906      65.151
  58.7743          4281.836      65.116
  58.8743          4390.273      65.961
  58.9743          4528.178      66.649
  59.0743          4392.576      66.048
  59.1743          4620.763      67.566
  59.2743          4640.297      67.592
  59.3743          5300.603      72.246
  59.4743          7771.086      87.598
